,제목,예배,설교자,본문,날짜,교회
231,2013년을 승리합시다,주일예배,김삼환 목사 ,시 31:11-24 ,2012-12-30,명성교회
232,나의 꿈은 교인으로 사는 것 입니다.,주일예배,김삼환 목사 ,시 27:1-6 ,2012-12-16,명성교회
233,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배,김삼환 목사 , ,2012-12-02,명성교회
234,우리는 새로운 피조물 입니다.,주일예배,김삼환 목사 ,고후 5:14-19 ,2012-11-18,명성교회
235,주님 앞에 쓰임 받으십시오,주일예배,김삼환 목사 ,엡 2:1-10 ,2012-11-04,명성교회
236,물위를 걷는 사람들,주일예배,김삼환 목사 ,마 14:22-32 ,2012-10-21,명성교회
237,"하나님 아버지, 큰 절 받으세요",주일예배,김삼환 목사 ,눅 15:11-24 ,2012-10-07,명성교회
238,하나님 아버지 제가 돌아 왔습니다,주일예배,김삼환 목사 ,눅 15:11-24 ,2012-09-23,명성교회
239,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배,김삼환 목사 , ,2012-09-09,명성교회
240,평생 기도,주일예배,김삼환 목사 ,시 116:1-12 ,2012-08-26,명성교회
241,예수님을 알게 하신 분,주일예배,김삼환 목사 ,고전 12:1-3 ,2012-08-12,명성교회
242,땅 끝까지의 성령,주일예배,김삼환 목사 ,행 1:8 ,2012-07-29,명성교회
243,머물지 않는 것이 좋다,주일예배,김삼환 목사 ,히 10:32-39 ,2012-07-15,명성교회
244,이렇게 도전 하십시오,주일예배,김삼환 목사 ,마 15:21-28 ,2012-07-01,명성교회
245,바울의 승리,주일예배,김삼환 목사 ,빌 3:4 - 14 ,2012-06-17,명성교회
246,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배,김삼환 목사 , ,2012-06-03,명성교회
247,항아리 속에 감추인 보화,주일예배,김삼환 목사 ,"렘 18:1-6, 눅 8:38-9 ",2012-05-20,명성교회
248,오직 기도 뿐입니다,주일예배,김삼환 목사 ,시 30:1-12 ,2012-05-06,명성교회
249,교회는 투게더의 집,주일예배,김삼환 목사 ,고전 12:12-20 ,2012-04-22,명성교회
250,예수 그리스도 다시 사셨습니다,주일예배,김삼환 목사 ,마 28 : 1-10 ,2012-04-08,명성교회
