,제목,예배,설교자,본문,날짜,교회
332,"예수, 임마누엘의 하나님",주일예배,김지철 목사,마 1:18~25,2014-12-21,소망교회
333,하와에서 마리아로!,주일예배,김지철 목사,"창 3:4~6, 눅 1:35~38",2014-12-14,소망교회
334,말씀하시매 이루시니라!,주일예배,김지철 목사,시 33:4~12,2014-12-07,소망교회
335,하나님의 열심!,주일예배,김지철 목사,사 9:6~7,2014-11-30,소망교회
336,선택과 집중 : 마르다와 마리아 - 예수님의 제자들 15 -,주일예배,김지철 목사,눅 10:38~42,2014-11-23,소망교회
337,"삶의 보물찾기, 감사",주일예배,김지철 목사,살전 5:18,2014-11-16,소망교회
338,이름 없는 여인 : 사랑때문에 - 예수님의 제자들 14 -,주일예배,김지철 목사,막 14:3~9,2014-11-09,소망교회
339,"여제자, 막달라 마리아 - 예수님의 제자들 13 -",주일예배,김지철 목사,눅 8:1~3,2014-11-02,소망교회
340,"교회, 주님의 영광을 위하여!",주일예배,김지철 목사,고전 2:1~5,2014-10-26,소망교회
341,이데올로기인가? 신앙인가? : 시몬 - 예수님의 제자들 12 -,주일예배,김지철 목사,행 1:12~14,2014-10-19,소망교회
342,보지 못하고 믿는 자들은 복되도다 : 도마 - 예수님의 제자들 11 -,주일예배,김지철 목사,요 20:24~29,2014-10-12,소망교회
343,하나님이 기뻐하시는 교회,주일예배,김지철 목사,요 8:26~30,2014-10-05,소망교회
344,잔치를 베푸는 사람 : 마태 - 예수님의 제자들 10 -,주일예배,김지철 목사,마 9:9~13,2014-09-28,소망교회
345,영적 호기심을 지닌 사람 : 빌립 - 예수님의 제자들 9 -,주일예배,김지철 목사,요 14:8~12,2014-09-21,소망교회
346,사랑하시는 제자 : 요한 - 예수님의 제자들 8 -,주일예배,김지철 목사,요 19:25~27,2014-09-14,소망교회
347,우레의 아들 : 야고보 - 예수님의 제자들 7 -,주일예배,김지철 목사,눅 9:51~56,2014-09-07,소망교회
348,마중물과 같이 소중한 사람 : 안드레 - 예수님의 제자들 6 -,주일예배,김지철 목사,요 1:35~42,2014-08-31,소망교회
349,행동하는 믿음 : 베드로 - 예수님의 제자들 5 -,주일예배,김지철 목사,마 14:25~32,2014-08-24,소망교회
350,기독교와 가톨릭 - 예수님의 제자들 4 -,주일예배,김지철 목사,고전 3:10~11,2014-08-17,소망교회
351,베드로와 교황 - 예수님의 제자들 3 -,주일예배,김지철 목사,마 16:15~18,2014-08-10,소망교회
352,회개 없는 후회 : 가룟유다 - 예수님의 제자들 2 -,주일예배,김지철 목사,마 27:3~8,2014-08-03,소망교회
353,부르심에 응답하는 사람들 - 예수님의 제자들 1 -,주일예배,김지철 목사,막 3:13~19,2014-07-27,소망교회
354,나의 이웃을 축복하라! - 축복하는 삶 4 -,주일예배,김지철 목사,"레 19:1~2, 33~37",2014-07-20,소망교회
355,나 자신을 축복하라! - 축복하는 삶 3 -,주일예배,김지철 목사,마 22:34~40,2014-07-13,소망교회
356,나의 공간을 축복하라 - 축복하는 삶 2 -,주일예배,김지철 목사,신 33:13~17,2014-07-06,소망교회
357,나의 시간을 축복하라 - 축복의 삶 1 -,주일예배,김지철 목사,고후 6:1~2,2014-06-29,소망교회
358,하나님의 뜻이란?,주일예배,김지철 목사,왕상 22:24~28,2014-06-22,소망교회
359,예수님을 위한 자발적인 고난,주일예배,김지철 목사,행 5:40~42,2014-06-15,소망교회
360,성령의 약속,주일예배,김경진 목사,요 14:25~26,2014-06-08,소망교회
361,성령의 약속,주일예배,임성빈 목사,요 14:25~26,2014-06-08,소망교회
362,신앙인의 큰 근심,주일예배,임성빈 목사,"롬 9:1~3, 10:1~4",2014-06-01,소망교회
